Shape *,admin4Name_en,admin4Pcode,admin4RefName,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Polygon,Makuma,SL02020607,Makuma,Samu,SL020206,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.31526,0.003748
Polygon,Mapotolon,SL02020609,Mapotolon,Samu,SL020206,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.387534,0.005713
Polygon,Moribaia,SL02020610,Moribaia,Samu,SL020206,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.645366,0.009495
Polygon,Rokon,SL02020611,Rokon,Samu,SL020206,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.231752,0.002117
Polygon,Rosinor,SL02020612,Rosinor,Samu,SL020206,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.179588,0.001135
Polygon,Bubuya,SL02020701,Bubuya,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.483858,0.010718
Polygon,Kathanthineh,SL02020703,Kathanthineh,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.959369,0.013982
Polygon,Magbonkoh,SL02020704,Magbonkoh,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.338163,0.004878
Polygon,Sowonde,SL03041211,Sowonde,Yakemu Kpukumu,SL030412,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.189461,0.001379
Polygon,Mamankoh,SL02020705,Mamankoh,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.468183,0.007281
Polygon,Fabaina Area,SL04010101,Fabaina Area,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.272269,0.002831
Polygon,Madonkeh,SL04010102,Madonkeh,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.205483,0.00121
Polygon,Magbafti,SL04010103,Magbafti,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.376594,0.004401
Polygon,Malambay,SL04010104,Malambay,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.246083,0.001736
Polygon,Newton,SL04010105,Newton,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.232608,0.002153
Polygon,Songo,SL04010106,Songo,Koya Rural,SL040101,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.21465,0.001328
Polygon,Bathurst,SL04010201,Bathurst,Mountain Rural,SL040102,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.130364,0.000806
Polygon,Charlotte,SL04010202,Charlotte,Mountain Rural,SL040102,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.142814,0.001023
Polygon,Gloucester,SL04010203,Gloucester,Mountain Rural,SL040102,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.081902,0.000327
Polygon,Leicester,SL04010204,Leicester,Mountain Rural,SL040102,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.10555,0.00029
Polygon,Regent,SL04010205,Regent,Mountain Rural,SL040102,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.137583,0.000736
Polygon,Benguema Village A,SL04010301,Benguema Village A,Waterloo Rural,SL040103,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.280887,0.002276
Polygon,Campbell Town Vill,SL04010302,Campbell Town Vill,Waterloo Rural,SL040103,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.220728,0.001034
Polygon,Waterloo Village A,SL04010305,Waterloo Village A,Waterloo Rural,SL040103,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.256694,0.001718
Polygon,Hastings Village A,SL04010303,Hastings Village A,Waterloo Rural,SL040103,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.482554,0.008614
Polygon,Gbendembu,SL04010401,Gbendembu,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.102161,0.000425
Polygon,Goderich-Adonkia/M,SL04010402,Goderich-Adonkia/M,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.175798,0.000977
Polygon,Goderich-Funkia,SL04010403,Goderich-Funkia,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.047467,0.000054
Polygon,Hamilton,SL04010404,Hamilton,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.308243,0.004987
Polygon,Kent,SL04010405,Kent,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.38668,0.001847
Polygon,Albert Academy,SL04020101,Albert Academy,Central I,SL040201,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.021714,0.000017
Polygon,Kossoh Town,SL04020303,Kossoh Town,East I,SL040203,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.025265,0.000031
Polygon,Sattia/Tombo,SL04010406,Sattia/Tombo,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.358871,0.003931
Polygon,York,SL04010407,York,York Rural,SL040104,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,0.456026,0.007612
Polygon,Bombay,SL04020401,Bombay,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.015385,0.00001
Polygon,Mountain Regent,SL04020102,Mountain Regent,Central I,SL040201,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.030871,0.000034
Polygon,Sorie Town,SL04020103,Sorie Town,Central I,SL040201,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.037679,0.000064
Polygon,Susan's Bay,SL04020104,Susans Bay,Central I,SL040201,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.021102,0.000019
Polygon,Tower Hill,SL04020105,Tower Hill,Central I,SL040201,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.029311,0.000054
Polygon,Connaught Hospital,SL04020201,Connaught Hospital,Central II,SL040202,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.030786,0.000033
Polygon,Sanders Brook,SL04020202,Sanders Brook,Central II,SL040202,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.031828,0.000033
Polygon,Cline Town,SL04020301,Cline Town,East I,SL040203,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.037963,0.000052
Polygon,Fourah Bay,SL04020302,Fourah Bay,East I,SL040203,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.03418,0.00006
Polygon,Coconut Farm/ Asho,SL04020402,Coconut Farm/ Asho,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.028006,0.000031
Polygon,Foulah Town,SL04020403,Foulah Town,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.022571,0.000023
Polygon,Ginger Hall,SL04020404,Ginger Hall,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.020182,0.000019
Polygon,Kissy Brook,SL04020405,Kissy Brook,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.034681,0.000017
Polygon,Magazine,SL04020406,Magazine,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.02029,0.000017
Polygon,Mount Aureol,SL04020407,Mount Aureol,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.016971,0.000014
Polygon,Quarry,SL04020408,Quarry,East II,SL040204,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.020736,0.000018
Polygon,Congo Water I,SL04020504,Congo Water I,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.04069,0.000064
Polygon,Allen Town I,SL04020501,Allen Town I,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.102388,0.000312
Polygon,Congo Water II,SL04020505,Congo Water II,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.061331,0.000121
Polygon,Allen Town II,SL04020502,Allen Town II,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.165988,0.000763
Polygon,Bottom Oku,SL04020503,Bottom Oku,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.037276,0.000076
Polygon,Grass Field,SL04020506,Grass Field,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.02959,0.00005
Polygon,Industrial Estate,SL04020507,Industrial Estate,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.074593,0.000216
Polygon,Kuntolor,SL04020514,Kuntolor,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.059014,0.000099
Polygon,Jalloh Terrace,SL04020508,Jalloh Terrace,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.056331,0.000094
Polygon,Kissy Brook,SL04020509,Kissy Brook,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.031499,0.00004
Polygon,Lowcost Housing,SL04020515,Lowcost Housing,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.032344,0.000038
Polygon,Kissy Bye Pass I,SL04020510,Kissy Bye Pass I,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.067149,0.000105
Polygon,Mamba Ridge I,SL04020516,Mamba Ridge I,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.046519,0.000084
Polygon,Mamba Ridge II,SL04020517,Mamba Ridge II,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.046032,0.000099
Polygon,Kissy Bye Pass II,SL04020511,Kissy Bye Pass II,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.072902,0.000122
